epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,1218.24,0.51708,0.42918,0.99224,0.5708,0.62732,0.58411,0.38482,1.35335,1.75849,2.06373,0.000302581,0.000302581,0.000302581
149,1226.41,0.52163,0.45686,0.997,0.6063,0.53123,0.57603,0.38796,1.32678,1.7081,2.05355,0.000297081,0.000297081,0.000297081
150,1234.56,0.50721,0.45316,0.9934,0.56118,0.64532,0.5887,0.38392,1.33961,1.60387,2.09181,0.000291582,0.000291582,0.000291582
151,1242.76,0.52483,0.43938,0.99833,0.54827,0.62573,0.58412,0.37684,1.37582,1.67642,2.12345,0.000286083,0.000286083,0.000286083
152,1251.03,0.51292,0.42386,1.02217,0.51957,0.65305,0.57121,0.37228,1.34977,1.74353,2.10274,0.000280583,0.000280583,0.000280583
153,1259.26,0.52971,0.42933,1.00857,0.60478,0.55485,0.57717,0.37505,1.37217,1.79762,2.11123,0.000275084,0.000275084,0.000275084
154,1267.46,0.50691,0.41401,0.98514,0.50532,0.66889,0.56057,0.36817,1.37162,1.72584,2.13812,0.000269584,0.000269584,0.000269584
155,1275.58,0.51482,0.43055,0.98651,0.52953,0.67463,0.59115,0.38579,1.34572,1.57289,2.10497,0.000264085,0.000264085,0.000264085
156,1283.75,0.50209,0.42921,0.98598,0.58048,0.62813,0.58951,0.38128,1.36606,1.66165,2.13577,0.000258585,0.000258585,0.000258585
157,1291.85,0.498,0.43575,0.98709,0.59155,0.56435,0.59524,0.38854,1.34904,1.69735,2.13847,0.000253086,0.000253086,0.000253086
158,1299.99,0.51094,0.46491,0.99209,0.65986,0.49881,0.58205,0.38197,1.35931,1.73244,2.15837,0.000247586,0.000247586,0.000247586
159,1308.17,0.49894,0.41596,0.9953,0.5594,0.62756,0.5759,0.36943,1.36459,1.62417,2.14878,0.000242087,0.000242087,0.000242087
160,1316.3,0.48,0.4132,0.98068,0.55812,0.62418,0.58514,0.38786,1.36407,1.69001,2.14486,0.000236587,0.000236587,0.000236587
161,1324.43,0.50644,0.41711,0.97677,0.49354,0.64759,0.54917,0.35791,1.38116,1.83861,2.15029,0.000231088,0.000231088,0.000231088
162,1332.59,0.51002,0.42323,0.98639,0.53356,0.63408,0.54236,0.35526,1.37295,1.75471,2.17009,0.000225589,0.000225589,0.000225589
163,1340.8,0.48107,0.40673,0.98404,0.58751,0.5844,0.58078,0.38092,1.37474,1.72942,2.17274,0.000220089,0.000220089,0.000220089
164,1348.98,0.4748,0.39589,0.97383,0.51958,0.65664,0.57286,0.38094,1.36579,1.69793,2.14456,0.00021459,0.00021459,0.00021459
165,1357.21,0.48295,0.40429,0.98359,0.54919,0.58186,0.57671,0.37476,1.38428,1.75969,2.17593,0.00020909,0.00020909,0.00020909
166,1365.43,0.50139,0.3945,1.01796,0.5621,0.56387,0.55392,0.36565,1.36176,1.79486,2.14652,0.000203591,0.000203591,0.000203591
167,1373.63,0.46862,0.38543,0.96894,0.56363,0.57499,0.55432,0.36579,1.36367,1.79356,2.14828,0.000198091,0.000198091,0.000198091
168,1381.81,0.46977,0.39469,0.97399,0.5383,0.60766,0.5721,0.381,1.35479,1.73059,2.11402,0.000192592,0.000192592,0.000192592
