epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,710.068,0.61176,0.54768,1.04047,0.63167,0.46225,0.56356,0.36613,1.32768,1.71235,1.96943,0.000176094,0.000176094,0.000176094
87,718.236,0.5747,0.52501,1.02027,0.58956,0.52879,0.56467,0.36594,1.34379,1.68074,2.00897,0.000165095,0.000165095,0.000165095
88,726.397,0.58901,0.53442,1.04014,0.63713,0.46775,0.54045,0.35261,1.34944,1.67965,1.99887,0.000154096,0.000154096,0.000154096
89,734.563,0.59081,0.50427,1.03686,0.5724,0.48582,0.53337,0.3433,1.35004,1.73323,2.00199,0.000143097,0.000143097,0.000143097
90,742.683,0.58191,0.51138,1.03696,0.5457,0.52385,0.5367,0.35105,1.34357,1.75746,2.01653,0.000132098,0.000132098,0.000132098
91,751.552,0.50612,0.3707,0.99368,0.42156,0.59999,0.51305,0.33214,1.33767,1.75297,2.01385,0.000121099,0.000121099,0.000121099
92,759.731,0.50342,0.3553,0.98611,0.6045,0.48878,0.52759,0.34525,1.33022,1.71688,1.99415,0.0001101,0.0001101,0.0001101
93,767.818,0.47896,0.33782,0.96378,0.65047,0.49448,0.53586,0.35448,1.33685,1.78311,2.05052,9.91012e-05,9.91012e-05,9.91012e-05
94,775.928,0.47228,0.42212,0.96711,0.54261,0.56053,0.55395,0.36228,1.32953,1.69852,2.01168,8.81023e-05,8.81023e-05,8.81023e-05
95,784.062,0.47817,0.3278,0.97415,0.63152,0.45327,0.52273,0.33789,1.33056,1.78385,2.03036,7.71034e-05,7.71034e-05,7.71034e-05
96,792.204,0.49742,0.32334,0.98747,0.50073,0.5722,0.53769,0.35363,1.32482,1.72767,2.04565,6.61045e-05,6.61045e-05,6.61045e-05
97,800.325,0.44996,0.3124,0.95584,0.52849,0.59469,0.5552,0.36993,1.32718,1.73918,2.0569,5.51056e-05,5.51056e-05,5.51056e-05
98,808.425,0.47336,0.33299,0.97412,0.48165,0.59975,0.53878,0.35315,1.30887,1.74314,2.05302,4.41067e-05,4.41067e-05,4.41067e-05
99,816.576,0.44866,0.33793,0.96444,0.50262,0.58969,0.53761,0.35332,1.3279,1.75077,2.04685,3.31078e-05,3.31078e-05,3.31078e-05
100,824.644,0.45739,0.3236,0.96101,0.48003,0.59109,0.53347,0.35349,1.32294,1.73817,2.05612,2.21089e-05,2.21089e-05,2.21089e-05
